Date,Open,High,Low,Close,Adj Close,Volume
2021-10-08,299.700012,313.450012,292.500000,297.225006,296.649597,2275170
2021-10-11,296.975006,304.000000,295.024994,296.924988,296.350159,1029558
2021-10-12,293.000000,296.924988,282.524994,291.825012,291.260071,339632
2021-10-13,293.000000,297.475006,282.500000,284.075012,283.525085,456870
2021-10-14,284.075012,292.475006,269.875000,289.024994,288.465485,914874
2021-10-18,295.000000,299.100006,289.000000,290.325012,289.762970,379580
2021-10-19,296.000000,296.000000,280.299988,285.024994,284.473206,541830
2021-10-20,285.024994,285.024994,270.774994,270.774994,270.250793,582910
2021-10-21,277.500000,280.000000,257.250000,263.325012,262.815247,1610572
2021-10-22,263.000000,264.399994,250.175003,250.175003,249.690689,702988
2021-10-25,255.000000,256.000000,237.675003,237.675003,237.214890,271560
2021-10-26,225.800003,244.449997,225.800003,237.725006,237.264801,916768
2021-10-27,238.500000,239.975006,231.000000,232.649994,232.199600,347292
2021-10-28,233.000000,244.274994,233.000000,244.274994,243.802109,428362
2021-10-29,252.399994,252.399994,235.000000,239.324997,238.861694,321720
2021-11-01,239.324997,245.000000,232.100006,241.199997,240.733063,216180
2021-11-02,244.649994,253.250000,244.649994,253.250000,252.759735,326856
2021-11-03,265.500000,265.899994,265.399994,265.899994,265.385223,297668
2021-11-04,274.450012,279.174988,272.500000,277.649994,277.112488,619846
2021-11-08,279.000000,279.700012,263.774994,270.024994,269.502258,487388
2021-11-09,270.000000,272.450012,256.524994,264.875000,264.362244,358882
2021-11-10,264.000000,264.000000,255.000000,256.950012,256.452576,261706
2021-11-11,255.949997,259.725006,253.000000,255.250000,254.755859,167742
2021-11-12,257.500000,258.899994,242.649994,252.274994,251.786621,441228
2021-11-15,254.975006,264.000000,254.774994,257.424988,256.926636,345786
2021-11-16,260.500000,263.649994,258.500000,260.274994,259.771118,173986
2021-11-17,260.750000,263.500000,255.500000,258.274994,257.774994,193306
2021-11-18,261.899994,261.899994,247.000000,256.950012,256.950012,289146
2021-11-22,259.500000,260.000000,244.500000,250.625000,250.625000,271556
2021-11-23,249.899994,260.450012,239.000000,251.300003,251.300003,1767038
2021-11-24,260.000000,263.850006,257.549988,263.850006,263.850006,907674
2021-11-25,277.024994,277.024994,267.549988,276.600006,276.600006,886816
2021-11-26,267.500000,269.000000,262.774994,262.799988,262.799988,924876
2021-11-29,250.000000,275.500000,249.675003,260.100006,260.100006,858744
2021-11-30,254.475006,263.950012,247.250000,251.175003,251.175003,369890
2021-12-01,250.000000,256.924988,240.600006,254.625000,254.625000,527108
2021-12-02,250.500000,252.500000,245.524994,250.300003,250.300003,331140
2021-12-03,250.449997,256.000000,246.125000,252.125000,252.125000,286290
2021-12-06,246.175003,255.500000,244.500000,246.774994,246.774994,252840
2021-12-07,247.000000,257.500000,247.000000,252.625000,252.625000,638808
2021-12-08,255.500000,262.475006,250.550003,260.250000,260.250000,385254
2021-12-09,265.000000,273.250000,257.500000,272.500000,272.500000,1210216
2021-12-10,274.000000,286.125000,270.549988,284.575012,284.575012,838152
2021-12-13,289.899994,298.000000,282.524994,293.375000,293.375000,1134402
2021-12-14,290.000000,298.500000,280.049988,296.575012,296.575012,726600
2021-12-15,296.575012,297.500000,290.000000,293.674988,293.674988,610426
2021-12-16,295.500000,296.000000,283.500000,292.825012,292.825012,527672
2021-12-17,287.549988,292.500000,278.200012,282.325012,282.325012,329304
2021-12-20,281.000000,281.000000,268.225006,268.225006,268.225006,110164
2021-12-21,258.450012,280.000000,257.500000,270.799988,270.799988,372534
2021-12-22,270.799988,273.899994,263.500000,267.424988,267.424988,194856
2021-12-23,267.350006,271.475006,257.000000,259.225006,259.225006,202882
2021-12-24,262.975006,266.750000,255.625000,257.299988,257.299988,243438
2021-12-27,253.100006,263.700012,250.600006,261.625000,261.625000,349434
2021-12-28,261.975006,265.500000,259.799988,261.649994,261.649994,206602
2021-12-29,261.649994,264.000000,248.574997,260.575012,260.575012,486030
2021-12-30,256.000000,263.000000,253.300003,257.975006,257.975006,158352
2021-12-31,258.000000,270.850006,256.549988,269.625000,269.625000,584866
